stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021001001301000,Vällingby,59.363242,17.872066,1,,
9021001001311000,Johannelund,59.367923,17.858141,1,,
9021001001321000,Hässelby gård,59.367057,17.844341,1,,
9021001001331000,Hässelby strand,59.361742,17.832466,1,,
9021001001511000,Medborgarplatsen,59.314879,18.073436,1,,
9021001001521000,Skanstull,59.308499,18.076103,1,,
9021001001551000,Gullmarsplan,59.299155,18.080985,1,,
9021001001601000,Skärmarbrink,59.295273,18.090351,1,,
9021001001611000,Globen,59.294247,18.078015,1,,
9021001001621000,Enskede gård,59.289028,18.070392,1,,
9021001001631000,Sockenplan,59.283622,18.070893,1,,
9021001001641000,Svedmyra,59.278012,18.067949,1,,
9021001001651000,Stureby,59.274628,18.055645,1,,
9021001001661000,Bandhagen,59.270403,18.049656,1,,
9021001001701000,Högdalen,59.263788,18.042986,1,,
9021001001711000,Rågsved,59.256697,18.028361,1,,
9021001001721000,Hagsätra,59.262172,18.013188,1,,
9021001001811000,Blåsut,59.291166,18.091151,1,,
9021001001821000,Sandsborg,59.285675,18.091932,1,,
9021001001831000,Skogskyrkogården,59.278967,18.095518,1,,
9021001001841000,Tallkrogen,59.271257,18.085545,1,,
9021001001851000,Gubbängen,59.263324,18.082138,1,,
9021001001861000,Hökarängen,59.257926,18.082506,1,,
9021001001871000,Farsta,59.243531,18.093724,1,,
9021001001881000,Farsta strand,59.235453,18.101217,1,,
9021001001911000,Hammarbyhöjden,59.294747,18.104557,1,,
9021001001921000,Björkhagen,59.291651,18.115337,1,,
9021001001931000,Kärrtorp,59.284509,18.114485,1,,
9021001001941000,Bagarmossen,59.276262,18.131215,1,,
9021001001951000,Skarpnäck,59.266970,18.133627,1,,
9021001002101000,Östermalmstorg,59.334968,18.076384,1,,
9021001002111000,Karlaplan,59.338988,18.091998,1,,
9021001002121000,Gärdet,59.345169,18.098981,1,,
9021001002131000,Ropsten,59.357451,18.102720,1,,
9021001002211000,Stadion,59.340803,18.081942,1,,
9021001002221000,Tekniska högskolan,59.346540,18.069324,1,,
9021001002231000,Universitetet,59.365356,18.054894,1,,
9021001002241000,Bergshamra,59.380727,18.037494,1,,
9021001002251000,Danderyds sjukhus,59.390617,18.041797,1,,
9021001002301000,Mörby centrum,59.398261,18.036657,1,,
9021001002511000,Mariatorget,59.317014,18.062117,1,,
9021001002521000,Zinkensdamm,59.317911,18.049608,1,,
9021001002531000,Hornstull,59.316014,18.035410,1,,
9021001002601000,Liljeholmen,59.310688,18.023044,1,,
9021001002611000,Aspudden,59.306362,18.001817,1,,
9021001002621000,Örnsberg,59.305430,17.989131,1,,
9021001002631000,Axelsberg,59.304378,17.975516,1,,
9021001002641000,Mälarhöjden,59.301234,17.957705,1,,
9021001002651000,Bredäng,59.294802,17.936023,1,,
9021001002701000,Sätra,59.285003,17.921296,1,,
9021001002711000,Skärholmen,59.276990,17.907048,1,,
9021001002721000,Vårberg,59.275950,17.890176,1,,
9021001002731000,Vårby gård,59.264365,17.884680,1,,
9021001002741000,Masmo,59.249912,17.881372,1,,
9021001002751000,Fittja,59.247446,17.861027,1,,
9021001002761000,Alby,59.239495,17.845357,1,,
9021001002771000,Hallunda,59.243328,17.825251,1,,
9021001002781000,Norsborg,59.243787,17.815024,1,,
9021001002811000,Midsommarkransen,59.301870,18.011984,1,,
9021001002821000,Telefonplan,59.298252,17.997344,1,,
9021001002831000,Hägerstensåsen,59.295170,17.978441,1,,
9021001002841000,Västertorp,59.291355,17.966709,1,,
9021001002851000,Fruängen,59.286384,17.964940,1,,
9021001003031000,Kungsträdgården,59.330859,18.073588,1,,
9021001003131000,Rådhuset,59.329858,18.045008,1,,
9021001003161000,Stadshagen,59.337449,18.015653,1,,
9021001003201000,Västra skogen,59.348022,18.003402,1,,
9021001003211000,Solna centrum,59.359534,17.997759,1,,
9021001003221000,Näckrosen,59.367311,17.981741,1,,
9021001003231000,Hallonbergen,59.374385,17.969241,1,,
